code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
122305.SH,14鲁高速,722.81(20180630),175.81(20180331),598(20161231),134.4(20151231),179.9491(20150331),169.86(20141231),188.761(20140930),175.86(20140331),170.86(20131231),172.244(20130630),123.8(20130331),105.4(20120930),113.3(20110930),119.3(20100930),79.1(20090930),49(20080930),,,,,,,,,,,,,,,,,,,,,,,,,,,
122306.SH,13太极01,38.31(20150331),40.1913(20140630),36.67(20140331),38.9569(20131231),37.7517(20130930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122308.SH,13杭齿债,20.9(20180331),22.37(20161231),21.82(20160630),21.77(20160331),15.967(20150930),15.04(20150630),19.88(20150331),18.74(20140930),20.3(20140331),14.65(20130630),14.62(20130331),15.05(20130228),14.62(20120930),11.44(20120630),11.44(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122316.SH,14赣粤01,233.75(20180930),211.4(20180331),211.44(20171231),358.31(20161231),350.4(20160930),376.18(20160331),376.18(20151231),317.19(20150630),312.19(20150331),218.6603(20140331),226.88(20131231),226.88(20121231),221.88(20120930),205.58(20120331),145.53(20110930),140.23(20110630),127.73(20110331),98.63(20100630),88.6(20100331),85(20081231),53.5(20080930),44.8(20051013),,,,,,,,,,,,,,,,,,,,,
122317.SH,14赣粤02,233.75(20180930),211.4(20180331),211.44(20171231),358.31(20161231),350.4(20160930),376.18(20160331),376.18(20151231),317.19(20150630),312.19(20150331),218.6603(20140331),226.88(20131231),226.88(20121231),221.88(20120930),205.58(20120331),145.53(20110930),140.23(20110630),127.73(20110331),98.63(20100630),88.6(20100331),85(20081231),53.5(20080930),44.8(20051013),,,,,,,,,,,,,,,,,,,,,
122318.SH,14中炬01,30.5(20180331),26.4(20170331),24.6(20160331),11.9(20150331),12.43(20140930),12.43(20140630),10.53(20130630),14.8(20130331),11.62(20120630),13.32(20120331),14.9199(20110630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122320.SH,14国贸01,36.4(20180331),66.5(20170331),28(20161231),45(20160630),17(20160331),17(20151231),13(20150930),12.99(20150630),42.7(20141231),10(20131231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122323.SH,14凤凰债,6.7(20161231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122327.SH,13卧龙债,5(20161231),6.06(20151231),9.962(20140630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122328.SH,12开滦02,77.85(20180331),88.91(20171231),81.85(20161231),87.43(20160331),93.278712(20151231),93.86(20150331),109.1877(20141231),102.08(20140630),105.4969(20140331),81.74(20130331),128.1(20121231),120.77(20120930),132.93(20120630),119.1684(20120331),85.5785(20110331),94.2485(20100930),86.666(20090930),60.826(20090331),,,,,,,,,,,,,,,,,,,,,,,,,
122329.SH,14伊泰01,449(20180930),539.1575(20180630),548.56(20180331),512.0575(20171231),569.88(20140630),281.37(20120930),234.51(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122330.SH,13中企债,95.91(20171231),18.65(20161231),107.3(20151231),108.66(20150930),132.03(20150630),126.028(20150331),129.57(20140930),193.08(20140630),186.14(20140331),164.1(20131231),73.25(20121231),60.75(20111231),60.092(20090331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122331.SH,14营口港,71.99(20171231),64.99(20170331),64.99(20161231),71.57(20160331),61.57(20151231),64.77(20141231),64.765(20140630),73.79(20091231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122332.SH,14亿利01,42.75(20180331),75.42(20150930),97.3(20140630),58.9448(20120930),54.32(20111231),42.2787(20110930),42.28(20100930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122333.SH,14嘉宝债,5(20180331),19.5(20151231),5(20140630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122334.SH,12大唐02,3978.81(20180331),3974.67(20170930),4202.31(20160331),2478.76(20140630),4251.42(20131231),4245.47(20130930),3027.01(20120630),2997.3(20111231),2894.15(20101231),381.6(20081231),1240(20080930),1240(20080331),1100(20061231),1060.05(20051231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122335.SH,14爱众01,29.04(20180331),26.11(20170331),25.42(20160930),27.355(20160630),28.56(20160331),27.96(20151231),37.25(20141231),23.48(20140630),15.7(20140331),19.17(20130930),19.166(20130630),19.166(20130331),17.31(20120630),16.9(20110930),16.9(20110630),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122336.SH,13牡丹01,78.35741(20180630),85.892962(20180331),71.3(20170331),78.933478(20160930),61.902845(20160331),57.422877(20151231),61.15(20150930),72.5488(20150331),70.25(20141231),70.2548(20140930),72.2401(20140630),76.05(20140331),63.18(20130930),73.6751(20130331),73.68(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122337.SH,13魏桥02,197.91(20140630),213.03(20130630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122338.SH,13金桥债,71.9(20180930),71.9(20180331),67.4(20171231),69.1(20161231),41.7(20160630),22.6(20140630),5(20131231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122339.SH,13香江债,47.8(20180630),38.5(20180331),38.4(20170930),40.61(20170630),12.5(20161231),46.81(20160331),46(20150331),51.52(20140630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122340.SH,14武控01,92.7(20171231),21.9(20161231),20.9(20160331),21.9(20151231),6.9(20140630),9.75(20131231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122341.SH,14连云港,23.6317(20180331),24.13(20171231),24.2481(20170930),37.5156(20170331),23.65(20161231),22.2688(20160930),21.77(20160630),21.45(20160331),31.43(20151231),43.5(20150930),43.5(20150630),44.44(20141231),44.44(20140930),19.3(20111231),9(20100120),,,,,,,,,,,,,,,,,,,,,,,,,,,,
122343.SH,13和邦02,16.51(20171231),36.11(20140630),24(20121231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122344.SH,13尖峰02,15.61(20171231),17.71(20161231),13.01(20140630),6.07(20121231),6.07(20120930),5.85(20120331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
