code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
136870.SH,16中关02,763(20180331),717.8(20171231),626.92(20170630),480.5(20161231),428.83(20160630),458.65(20160331),447.52(20150331),99.4(20141231),404.27(20140630),357.71(20130930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136871.SH,16玉皇04,187.33(20180331),200.51(20170331),202.593711(20160930),154.956457(20160630),157.577561(20160331),155.75(20151231),157.104006(20150930),150.743403(20150630),147.9762(20150331),132.3393(20140930),133.95(20140630),147.98(20140331),73.58(20140211),73.5803(20130930),64.66(20121231),79.9(20121206),81.38(20120930),79.8984(20120630),69.85(20120331),,,,,,,,,,,,,,,,,,,,,,,,
136872.SH,16豫投债,1080.3818(20180930),1128.0882(20180331),1012.98(20171231),1019.965019(20170930),1031.336632(20170630),1147.543(20170331),889.1559(20160930),779.3169(20160630),783.5051(20160331),715.488801(20150930),575.24(20150331),575.24(20141231),538.13(20140930),450.63(20140630),422.18(20140331),422.18(20131231),422.18(20130930),448.29(20130630),443.29(20130331),428(20121231),403.89(20120930),361.32(20120331),371.42(20111231),389.74(20110930),370.14(20110630),361.86(20110331),371.42(20101231),387.28(20100331),330.16(20090630),384.49(20080930),327.34(20071231),,,,,,,,,,,,
136875.SH,16华晨01,333.04(20171231),309.33(20161231),404.21(20160630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136877.SH,16合盛01,37.43(20180331),24.04(20170331),24.29(20161231),26.66(20160630),26.71(20160331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136879.SH,16国电资,293(20160930),158(20160630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136880.SH,16恒信01,163.33(20180331),160.4(20170331),135.577986(20160930),128.24(20160331),115.294051(20150930),117.84(20150331),86.58(20140331),54.71(20130331),35.335(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136881.SH,17甬开投,329.65(20180930),340.15(20180630),348.4929(20180331),347.08(20170930),328.14(20170331),293.06(20160930),290.2225(20160630),277.18(20160331),246.2125(20150930),257.7(20150630),264.81(20150331),252.62(20140930),229.42(20140630),215.854(20140331),172.28(20130331),120.2(20120331),83.4(20110331),,,,,,,,,,,,,,,,,,,,,,,,,,
136882.SH,16科发01,138.26(20180331),128.214804(20171231),100.335941(20170630),68.835626(20170331),60.561712(20160630),65.19(20160331),55.46(20151231),52.023(20150930),51.704(20150630),65.11(20150331),60.16(20141231),64.21(20140930),59.05(20140331),42.45(20131231),46.345(20130630),47.62(20121231),33.0042(20120930),41(20111231),,,,,,,,,,,,,,,,,,,,,,,,,
136883.SH,16金工01,83.3(20180331),42.99(20170930),49.3(20170331),48.18(20161231),63.68(20160630),78.48(20160331),79.73(20150930),84.83(20150630),82.43(20150331),70.56(20140331),69.15(20130930),60.3(20130331),33.345(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136886.SH,16南翔03,56.16(20180331),70.2696(20170331),68.93279(20160930),77.63467(20160630),68.69467(20160331),68.69(20151231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136887.SH,17沪资01,83.9(20180630),83.9(20180331),84.78(20170930),81.5(20170331),85.25(20160930),82.7(20160331),82.7(20151231),87.7(20150331),68.7(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136888.SH,17中材01,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
136889.SH,17华阳01,108.25(20180331),104.85(20171231),90(20170930),45.64(20170331),38.8(20160930),44.497919(20160331),42.79(20150930),38.62(20150331),27.788(20140630),32.5328(20140331),17.4018(20130930),24.61(20130630),7.1814(20120930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136892.SH,17北汽01,2(20130331),2(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136893.SH,17泰达债,2571.76(20180930),2164.5(20180630),2028(20180331),1689(20170930),466.81(20170331),1689(20160930),1689(20160630),1689(20160331),1563.58(20150930),403.96(20150630),830(20141231),380(20140331),370.06(20121231),505.26(20120331),750(20110331),873.918(20090930),422(20071231),375(20070531),400(20060412),,,,,,,,,,,,,,,,,,,,,,,,
136894.SH,17黄河01,91.56(20180331),78.7(20170331),77.29(20161130),76.406(20160930),75.58(20141231),70.9(20140930),62.28(20140417),63.93(20131231),62.725(20130930),62.275(20130630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136897.SH,17绿原01,85.9(20180331),58.2(20170930),54.33(20170331),53.56(20160930),54.86(20160630),53.86(20160331),38.38(20150930),54.86(20150630),38.38(20150331),26.5(20141231),26.5(20140930),24.9(20140331),12.18(20130331),12.18(20120930),11(20111231),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136898.SH,17蚌投01,43.18(20190122),43.18(20181022),43.923975(20180930),40.621825(20180630),43.18(20180525),43.251311(20180331),42.21(20171231),43.180453(20170930),38.088931(20170331),40.68(20170306),40.68(20170206),39.138431(20161231),44.881735(20160930),40.68(20160630),43.22(20160331),47.603645(20150930),48.26(20150331),45.9543(20140930),44.95(20140630),34.115(20130930),35.75(20130331),,,,,,,,,,,,,,,,,,,,,,
136901.SH,18海航Y5,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136902.SH,18铁工Y6,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136903.SH,18铁工Y7,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136905.SH,18津保Y1,1238.85(20180930),1223.3(20180630),1186.5(20180331),792.81(20170930),1261.5(20170630),1455(20170331),876.44(20160331),404.07(20150930),400.29(20150630),417.09(20150331),386.33(20141231),318.85(20140630),337.92(20140331),447(20121231),365.178(20120331),364.29(20111231),370.22(20101231),363.9894(20090930),,,,,,,,,,,,,,,,,,,,,,,,,
136907.SH,18建三Y1,845.5(20180930),838.75(20180630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136910.SH,18航租Y1,876.568065(20180930),791.602732(20180630),763.654669(20180331),749.71(20171231),760.9(20170930),746.67(20170630),712.01(20170331),473.88(20161231),594.57(20160930),566.99(20160630),542.26(20160331),531.53(20151231),470.543442(20150930),446.790622(20150630),360.24(20141231),375.1787(20140930),255(20131231),,,,,,,,,,,,,,,,,,,,,,,,,,
136912.SH,18路建Y1,293.8(20180630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136913.SH,G18京Y3,3103.155(20180930),3087.16(20180630),3087.16(20180331),3087.16(20171231),3081.875(20170930),2638.875(20170630),3002(20170331),3002(20161231),2608(20160630),2360(20151231),2370.634003(20150331),2304.34(20141231),2014.9(20140930),1914.348(20140331),1935(20131231),1602.45(20130930),1778.15(20130331),1678.05(20120930),1481.46(20120630),2079.91(20120331),909.9(20111231),2079.91(20110930),2071.16(20110630),2079.91(20110331),2076.39(20100930),2057.72(20100630),2045.54(20100331),1812.58(20090930),1086.93(20081231),870.7795(20080930),392.73(20070630),398.73(20061231),498.73(20060831),,,,,,,,,,
136914.SH,G18京Y4,3103.155(20180930),3087.16(20180630),3087.16(20180331),3087.16(20171231),3081.875(20170930),2638.875(20170630),3002(20170331),3002(20161231),2608(20160630),2360(20151231),2370.634003(20150331),2304.34(20141231),2014.9(20140930),1914.348(20140331),1935(20131231),1602.45(20130930),1778.15(20130331),1678.05(20120930),1481.46(20120630),2079.91(20120331),909.9(20111231),2079.91(20110930),2071.16(20110630),2079.91(20110331),2076.39(20100930),2057.72(20100630),2045.54(20100331),1812.58(20090930),1086.93(20081231),870.7795(20080930),392.73(20070630),398.73(20061231),498.73(20060831),,,,,,,,,,
136915.SH,18中大Y1,1022.086(20180930),1022(20180630),1012.5966(20180331),984.7244(20170930),1076.690333(20170630),952.1709(20170331),920.8833(20160930),1018.5(20160630),1010.46(20160331),1066.87(20150930),208.3171(20120930),198.4(20120630),177.6059(20110930),153.0534(20101231),141.6989(20100630),28.27(20070630),,,,,,,,,,,,,,,,,,,,,,,,,,,
136916.SH,18中公Y2,511.4(20180630),529.7(20180331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136917.SH,18蒙电Y1,290.44(20180630),331.290793(20180331),367.4649(20170930),353.27(20170331),382(20160331),344.801262(20150630),335.1435(20150331),362.55(20140930),303.92(20140331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136918.SH,18蒙电Y2,290.44(20180630),331.290793(20180331),367.4649(20170930),353.27(20170331),382(20160331),344.801262(20150630),335.1435(20150331),362.55(20140930),303.92(20140331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136919.SH,18三峡Y1,362.7(20180630),400.2(20180331),400.2(20171231),374.2(20170930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136921.SH,18铁工Y3,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136922.SH,18铁工Y4,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136923.SH,18特变Y3,1090.04(20180630),1111.01(20180331),1098.81(20171231),1061.75(20170930),1036.81(20170630),994.602322(20170331),924.50359(20160630),822.5373(20150930),689.8316(20140930),689.8316(20140331),481.46(20120331),489.47(20111231),336.95(20110331),290.99(20100930),233.605(20091231),168.58(20090331),105.28(20070630),57(20060331),,,,,,,,,,,,,,,,,,,,,,,,,
136924.SH,18铁工Y1,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136925.SH,18铁工Y2,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
136926.SH,18方程Y1,1710.42(20180630),1353.65(20171231),1383.21(20170930),546(20170630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136928.SH,18联投Y1,1120.05(20180930),1126.61(20180630),1013.22(20180331),1097.53(20170930),1101.58(20170630),1066.54(20170331),883.9(20160930),854.18(20160630),878.7963(20160331),814.92(20150930),758.33(20150630),771.74(20150331),702.94(20140930),655(20140630),604(20140331),539.7(20130930),522(20130331),520(20120930),521.22(20120331),,,,,,,,,,,,,,,,,,,,,,,,
136931.SH,18滇建Y2,2573.82(20180930),2474.437418(20180630),2663.19581(20180331),2187.043809(20170930),2128.89(20170630),1972.439674(20170331),1725.48(20161231),1811.680121(20160930),1950.09(20160630),1099.647934(20150630),1024.6575(20150331),759.1769(20140930),423.29(20140331),346.15(20131231),351.61(20130930),211.8838(20130630),185.8979(20130331),150(20120930),148.016(20120331),115.6132(20110630),29.95(20100331),,,,,,,,,,,,,,,,,,,,,,
136932.SH,18中化Y5,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136933.SH,18中化Y6,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136934.SH,18海航Y4,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136935.SH,G18XHY1,381.389693(20180630),375.76(20180331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136936.SH,18CHNG3Y,11000(20180930),11000(20180331),11000(20171231),11000(20170930),11027(20170630),8470(20170331),10430(20161231),8470(20160930),8470(20160630),8470(20160331),8470(20150930),8470(20150630),8470(20150331),8370(20140930),8070(20140331),6810(20130930),6616(20130630),6316(20130331),5666(20120630),5666(20120331),5666(20111231),5666(20110930),5406(20110331),5406(20101231),5406(20100930),5406(20100630),4795(20091231),4795(20090930),4795(20090630),4105(20080930),4010(20080830),3465(20080424),3270(20070630),,,,,,,,,,
136937.SH,18CHNG4Y,11000(20180930),11000(20180331),11000(20171231),11000(20170930),11027(20170630),8470(20170331),10430(20161231),8470(20160930),8470(20160630),8470(20160331),8470(20150930),8470(20150630),8470(20150331),8370(20140930),8070(20140331),6810(20130930),6616(20130630),6316(20130331),5666(20120630),5666(20120331),5666(20111231),5666(20110930),5406(20110331),5406(20101231),5406(20100930),5406(20100630),4795(20091231),4795(20090930),4795(20090630),4105(20080930),4010(20080830),3465(20080424),3270(20070630),,,,,,,,,,
136938.SH,18CHNG1Y,11000(20180930),11000(20180331),11000(20171231),11000(20170930),11027(20170630),8470(20170331),10430(20161231),8470(20160930),8470(20160630),8470(20160331),8470(20150930),8470(20150630),8470(20150331),8370(20140930),8070(20140331),6810(20130930),6616(20130630),6316(20130331),5666(20120630),5666(20120331),5666(20111231),5666(20110930),5406(20110331),5406(20101231),5406(20100930),5406(20100630),4795(20091231),4795(20090930),4795(20090630),4105(20080930),4010(20080830),3465(20080424),3270(20070630),,,,,,,,,,
136939.SH,18CHNG2Y,11000(20180930),11000(20180331),11000(20171231),11000(20170930),11027(20170630),8470(20170331),10430(20161231),8470(20160930),8470(20160630),8470(20160331),8470(20150930),8470(20150630),8470(20150331),8370(20140930),8070(20140331),6810(20130930),6616(20130630),6316(20130331),5666(20120630),5666(20120331),5666(20111231),5666(20110930),5406(20110331),5406(20101231),5406(20100930),5406(20100630),4795(20091231),4795(20090930),4795(20090630),4105(20080930),4010(20080830),3465(20080424),3270(20070630),,,,,,,,,,
136942.SH,18青城Y2,1036.177926(20180930),962.019747(20180630),1010.588038(20180331),823.308196(20170930),741.32(20170630),621.22321(20170331),299.123(20150930),160.1234(20150331),90.8593(20140331),248.8(20131231),73.9534(20130630),83.8(20130331),92.6033(20120630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136943.SH,18大唐Y5,10916.85(20180930),10130.33(20180331),10938.73(20170930),11412(20170630),11412(20170331),11216.92(20161231),9077.92(20160930),9110.86(20160630),8953.48(20160331),9543(20150930),7649.06(20150331),8210.68(20140630),7649.06(20140331),7000(20130930),8200(20130628),4750(20130220),4750(20121231),4750(20121119),4750(20120905),4750(20120626),4750(20120509),4750(20110609),4750(20110608),3540(20081231),3540(20080930),3400(20071231),1906(20071012),,,,,,,,,,,,,,,,
136944.SH,18大唐Y4,10916.85(20180930),10130.33(20180331),10938.73(20170930),11412(20170630),11412(20170331),11216.92(20161231),9077.92(20160930),9110.86(20160630),8953.48(20160331),9543(20150930),7649.06(20150331),8210.68(20140630),7649.06(20140331),7000(20130930),8200(20130628),4750(20130220),4750(20121231),4750(20121119),4750(20120905),4750(20120626),4750(20120509),4750(20110609),4750(20110608),3540(20081231),3540(20080930),3400(20071231),1906(20071012),,,,,,,,,,,,,,,,
136945.SH,18大唐Y3,10916.85(20180930),10130.33(20180331),10938.73(20170930),11412(20170630),11412(20170331),11216.92(20161231),9077.92(20160930),9110.86(20160630),8953.48(20160331),9543(20150930),7649.06(20150331),8210.68(20140630),7649.06(20140331),7000(20130930),8200(20130628),4750(20130220),4750(20121231),4750(20121119),4750(20120905),4750(20120626),4750(20120509),4750(20110609),4750(20110608),3540(20081231),3540(20080930),3400(20071231),1906(20071012),,,,,,,,,,,,,,,,
136946.SH,18海航Y3,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136947.SH,18建材Y5,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
136948.SH,18建材Y6,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
136949.SH,18中化Y3,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136950.SH,18中化Y4,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136951.SH,18紫金Y1,1506.44(20180930),1351(20180630),1346(20171231),1385(20170331),1385(20161231),1173.66(20160930),1160.86(20160630),1156.21(20160331),1071.723(20150930),1071.216(20150331),984.782(20140331),727.2259(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136952.SH,18中公Y1,511.4(20180630),529.7(20180331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136953.SH,18风电Y1,212(20180930),196.6(20180630),211.4(20180331),211.4(20170630),211.4(20170331),252.9(20160630),227.9(20160331),178.9(20150930),186.9(20150630),227.9(20150331),194.9(20140930),165.9(20140331),253.37(20131231),235.49(20130930),221.5(20130630),221.5(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,
136954.SH,18风电Y2,212(20180930),196.6(20180630),211.4(20180331),211.4(20170630),211.4(20170331),252.9(20160630),227.9(20160331),178.9(20150930),186.9(20150630),227.9(20150331),194.9(20140930),165.9(20140331),253.37(20131231),235.49(20130930),221.5(20130630),221.5(20130331),,,,,,,,,,,,,,,,,,,,,,,,,,,
136955.SH,18沪建Y3,1429.515705(20180331),2005(20170331),1912.7648(20160930),1791.79(20160331),1689.4483(20150930),1621.9917(20150630),1565.4196(20150331),1665.42(20141231),1384.65(20131231),1269.9(20121231),1126.2484(20120630),1079.8785(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136956.SH,18海航Y2,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136957.SH,18大唐Y1,10916.85(20180930),10130.33(20180331),10938.73(20170930),11412(20170630),11412(20170331),11216.92(20161231),9077.92(20160930),9110.86(20160630),8953.48(20160331),9543(20150930),7649.06(20150331),8210.68(20140630),7649.06(20140331),7000(20130930),8200(20130628),4750(20130220),4750(20121231),4750(20121119),4750(20120905),4750(20120626),4750(20120509),4750(20110609),4750(20110608),3540(20081231),3540(20080930),3400(20071231),1906(20071012),,,,,,,,,,,,,,,,
136959.SH,18中交Y1,725.97(20180930),761.87(20180630),725.97(20171231),806.23(20170630),1409.48(20160930),941.15(20160630),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136960.SH,18海航Y1,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
136961.SH,18中化Y1,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136962.SH,18中化Y2,5354(20180930),5290(20180630),4855(20180331),4877(20171231),4604(20170930),4669(20170331),4604(20161231),4650(20160930),4604(20160630),4000(20160331),4000(20151231),4400(20150930),4473(20141231),4100(20140331),3896.69(20131231),2900(20121231),2712.55(20111231),2571(20110930),2472(20100930),,,,,,,,,,,,,,,,,,,,,,,,
136963.SH,G18京Y1,3103.155(20180930),3087.16(20180630),3087.16(20180331),3087.16(20171231),3081.875(20170930),2638.875(20170630),3002(20170331),3002(20161231),2608(20160630),2360(20151231),2370.634003(20150331),2304.34(20141231),2014.9(20140930),1914.348(20140331),1935(20131231),1602.45(20130930),1778.15(20130331),1678.05(20120930),1481.46(20120630),2079.91(20120331),909.9(20111231),2079.91(20110930),2071.16(20110630),2079.91(20110331),2076.39(20100930),2057.72(20100630),2045.54(20100331),1812.58(20090930),1086.93(20081231),870.7795(20080930),392.73(20070630),398.73(20061231),498.73(20060831),,,,,,,,,,
136965.SH,18新金Y2,85.516(20180630),46.85(20171231),54.85(20170930),63.5(20170331),57.4(20160930),36.3(20160331),35.01(20150331),35.01(20141231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136966.SH,18建集Y2,1394.9064(20180630),1354.5561(20180331),1420.672966(20170930),1155.65(20170630),1101.15(20170331),1131.5537(20161231),1157.8602(20160930),1014.55(20160331),985.05029(20150930),1016.863489(20150630),920.6288(20150331),951.38(20141231),945.0542(20140930),874.04(20140331),743.6849(20130930),70.7(20130331),756.07(20120930),669.11(20120331),655.3(20110930),419.5226(20100930),363.442(20090930),291.75(20080930),,,,,,,,,,,,,,,,,,,,,
136968.SH,18新际Y5,1418.39(20171231),1503.54(20171031),1506.52(20170630),64(20161128),64(20161010),1272.58(20160930),64(20160425),1100.75(20160331),64(20160314),64(20160118),1000.75(20151231),1000.75(20150930),64(20150804),64(20150422),844.45(20150331),844.45(20141231),64(20141112),64(20140811),64(20140331),43(20130531),71.5(20120930),70.5(20110930),34.5(20100930),,,,,,,,,,,,,,,,,,,,
136970.SH,17沪建Y1,1429.515705(20180331),2005(20170331),1912.7648(20160930),1791.79(20160331),1689.4483(20150930),1621.9917(20150630),1565.4196(20150331),1665.42(20141231),1384.65(20131231),1269.9(20121231),1126.2484(20120630),1079.8785(20110930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136972.SH,17中冶Y3,5068(20171231),4655(20170331),4566(20161231),4120.3(20160930),4030(20160630),5507(20160331),4997(20151231),4987(20150930),4987(20150630),4802(20150331),4373(20140930),4295(20140331),4121(20131231),4121(20130930),3901(20130630),4298(20121231),4184(20120930),4200(20120630),4184(20111231),3715(20110630),3620(20101231),3242(20100630),2829(20090930),,,,,,,,,,,,,,,,,,,,
136974.SH,17中工Y1,324.7(20180331),271.8(20170930),264(20170717),264(20170621),264.39077(20170331),241.172804(20160930),236.67(20160630),233.19411(20160331),138.51(20151231),189.73(20150930),200.2341(20150331),202.434(20140930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136976.SH,17苏建01,21.65(20180331),19.96(20170331),23.03(20160630),23.35(20151231),3(20140126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136977.SH,17中材02,2866(20180930),2810.96(20180630),2253.36(20180331),2249.562493(20170930),2381.43(20170630),2278.020977(20170331),2193.5(20161231),2382.659898(20160930),2281.8954(20160630),2309.270211(20160331),2206.61035(20150930),2124.495822(20150630),2277.056681(20150331),2333.9262(20141231),2184.1034(20140630),2034.3903(20140331),1692.6996(20130331),1176.4636(20120331),909.2491(20110331),198.2(20080420),,,,,,,,,,,,,,,,,,,,,,,
136978.SH,17迪信01,31.7(20180331),32.95(20161231),33.08(20160930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136979.SH,17鑫海01,39.4266(20170630),41.6266(20160930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136983.SH,17晋电01,584.41(20180331),518.41(20171231),571.61(20170331),521.61(20160930),455.91(20160630),445.91(20160331),423.1588(20150630),374.71(20150331),289.66(20140331),221.2(20130331),43(20120930),43(20120331),43(20111231),38(20110930),38(20110630),45(20100930),50(20100331),52.4(20090930),,,,,,,,,,,,,,,,,,,,,,,,,
